component,standard_deviation,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,2.6922750107380113,0.2762481034774249,0.2762481034774249
PC2,1.8644349037845125,0.13248140162204408,0.408729505099469
PC3,1.5249677389551741,0.08863020976541683,0.49735971486488584
PC4,1.4269233956672032,0.0776000108755818,0.5749597257404676
PC5,1.3459506022650025,0.06904284950608042,0.644002575246548
PC6,1.2406845077876336,0.05866555497104981,0.7026681302175979
PC7,1.0956133116745115,0.04574831105954704,0.7484164412771449
PC8,1.0543620791006183,0.04236820067452666,0.7907846419516715
PC9,1.0333861294875435,0.040699185767580366,0.8314838277192519
PC10,0.8668540388513994,0.028638641884389936,0.8601224696036418
PC11,0.806915384179276,0.024815124355785163,0.884937593959427
PC12,0.7167766076361204,0.019580695410043217,0.9045182893694702
PC13,0.6483796333847991,0.01602209099290717,0.9205403803623774
PC14,0.5914484421658947,0.013331967591507182,0.9338723479538846
PC15,0.5386152254758979,0.011056501175341018,0.9449288491292257
PC16,0.5086128672277235,0.00985905185641505,0.9547879009856407
PC17,0.48268213393901394,0.008879385532939616,0.9636672865185804
PC18,0.4565271658255618,0.007943167409756112,0.9716104539283364
PC19,0.4440594083736916,0.007515235888113999,0.9791256898164504
PC20,0.4068554372947429,0.006308712170397314,0.9854344019868477
PC21,0.35890537126700595,0.004909309140611715,0.9903437111274594
PC22,0.2945170754142066,0.003305836902254749,0.9936495480297142
PC23,0.2860423672698014,0.0031183236748919593,0.9967678717046061
PC24,0.23750645825727154,0.002149865605180603,0.9989177373097867
PC25,0.12980312915219588,0.0006421415751082096,0.999559878884895
PC26,0.10746223527831396,0.0004401211151049916,0.9999999999999999
